City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Juye,CN,35.3947,116.0883,72.72,20,100,12.15,overcast clouds
299,Chatellerault,FR,46.8,0.5333,47.28,59,100,7.07,overcast clouds
300,Ariquemes,BR,-9.9133,-63.0408,73.62,88,94,1.54,overcast clouds
301,Shieli,KZ,44.1667,66.75,75.99,25,98,6.85,overcast clouds
302,San Quintin,MX,30.4833,-115.95,59.86,85,100,7.49,overcast clouds
303,Hamada,JP,34.8833,132.0833,56.12,77,100,11.18,overcast clouds
304,Setermoen,NO,68.861,18.3486,28.36,91,100,6.64,overcast clouds
305,Pangnirtung,CA,66.1451,-65.7125,22.37,96,99,3.78,light snow
306,Ixtapa,MX,20.7,-105.2,76.23,69,40,9.22,scattered clouds
307,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,52,75,15.66,broken clouds
308,Beringovskiy,RU,63.05,179.3167,27.46,94,100,18.25,light snow
309,Umm Lajj,SA,25.0213,37.2685,78.3,74,0,7.27,clear sky
310,Hastings,GB,50.8552,0.5729,50.23,74,100,4.54,overcast clouds
311,Ribeira Brava,PT,32.65,-17.0667,66.83,64,0,3.58,clear sky
312,Boke,GN,10.9409,-14.2967,76.78,70,92,2.57,overcast clouds
313,Beeville,US,28.4008,-97.7483,78.3,78,0,8.05,clear sky
314,Maceio,BR,-9.6658,-35.7353,74.64,88,40,2.3,scattered clouds
315,Owando,CG,-0.4819,15.8999,70.63,82,54,1.61,broken clouds
316,Omboue,GA,-1.5746,9.2618,76.15,93,63,4.34,broken clouds
317,Dicabisagan,PH,17.0818,122.4157,87.42,59,82,7.25,broken clouds
318,Port Moresby,PG,-9.4431,147.1797,90.82,55,40,11.5,scattered clouds
319,Goya,AR,-29.14,-59.2626,56.88,82,100,3.83,overcast clouds
320,Baley,RU,51.6,116.6333,49.64,40,98,4.7,overcast clouds
321,Hami,CN,42.8,93.45,66.87,14,0,5.21,clear sky
322,Vila Velha,BR,-20.3297,-40.2925,73.35,94,75,2.3,broken clouds
323,Tebingtinggi,ID,3.3285,99.1625,86.5,70,64,1.66,broken clouds
324,Hobyo,SO,5.3505,48.5268,83.21,75,76,8.03,light rain
325,Pisco,PE,-13.7,-76.2167,66.02,82,0,9.22,clear sky
326,Staryy Nadym,RU,65.6118,72.6842,26.91,95,100,2.26,snow
327,Buraydah,SA,26.326,43.975,73.85,36,0,8.01,clear sky
328,Kupang,ID,-10.1667,123.5833,88.34,58,12,8.59,few clouds
329,San Luis,AR,-33.295,-66.3356,50.18,60,0,6.35,clear sky
330,Papara,BR,-3.9839,-38.7273,81.0,94,78,2.59,broken clouds
331,Kununurra,AU,-15.7667,128.7333,93.18,46,9,14.97,clear sky
332,Matara,LK,5.9485,80.5353,83.68,77,100,12.21,moderate rain
333,Copiapo,CL,-27.3667,-70.3333,53.29,67,41,0.38,scattered clouds
334,Cayenne,GF,4.9333,-52.3333,81.09,2,20,8.99,few clouds
335,Saint-Pierre,RE,-21.3393,55.4781,74.88,75,0,8.05,clear sky
336,Marovoay,MG,-16.1,46.6333,73.62,86,0,3.06,clear sky
337,Taitung,TW,22.7583,121.1444,75.47,88,75,3.44,broken clouds
338,Mayumba,GA,-3.432,10.6554,76.39,90,91,4.47,overcast clouds
339,Nanortalik,GL,60.1432,-45.2371,35.67,95,89,6.42,overcast clouds
340,Mayo,US,38.8876,-76.5119,56.26,66,0,3.44,clear sky
341,Gioia Tauro,IT,38.424,15.899,62.29,61,100,1.92,overcast clouds
342,Albion,US,42.2431,-84.753,55.35,46,75,12.66,broken clouds
343,Tommot,RU,58.9564,126.2925,43.59,45,55,6.82,broken clouds
344,Zhongshu,CN,24.5167,103.7667,51.06,87,100,5.32,overcast clouds
345,Mana,GF,5.6592,-53.7767,77.63,86,27,8.25,scattered clouds
346,Maroantsetra,MG,-15.4333,49.7333,73.18,89,83,2.62,broken clouds
